MAL_ID,Name,Score,Genres,English name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
2483,Kaitouranma The Animation,5.99,"Action, Adventure, Martial Arts, Samurai",Samurai:Hunt for the Sword,OVA,2,"Nov 26, 1999 to Dec 23, 1999",Unknown,"AIC, APPP, animate Film",Media Blasters,Unknown,Visual novel,30 min. per ep.,PG-13 - Teens 13 or older,8294.0,8751,2073,1,69,1096,54,59,795,38.0,28.0,69.0,160.0,157.0,139.0,64.0,42.0,21.0,11.0
39148,Mottainai,Unknown,Kids,Unknown,OVA,1,Unknown,Unknown,Unknown,Unknown,Unknown,Original,22 min.,G - All Ages,15660.0,17253,61,0,0,14,1,23,23,2.0,Unknown,Unknown,1.0,2.0,2.0,Unknown,1.0,Unknown,3.0
3672,Tottemo! Luckyman,6.88,"Comedy, Super Power, Sci-Fi, Shounen",Unknown,TV,50,"Apr 6, 1994 to Mar 23, 1995",Spring 1994,"TV Tokyo, Yomiko Advertising, TV Tokyo Music",Unknown,Studio Pierrot,Manga,24 min. per ep.,G - All Ages,4108.0,9464,1568,12,48,812,43,124,541,64.0,66.0,128.0,195.0,142.0,54.0,23.0,11.0,8.0,1.0
26031,Super Erotic Anime,Unknown,Hentai,Unknown,OVA,2,"Oct 9, 1985 to Oct 17, 1985",Unknown,Unknown,Unknown,Unknown,Unknown,27 min. per ep.,Rx - Hentai,Unknown,12736,388,1,26,137,16,59,150,11.0,2.0,3.0,4.0,5.0,13.0,15.0,16.0,11.0,25.0
1225,3x3 Eyes: Seima Densetsu,6.97,"Action, Adventure, Horror, Demons, Romance, Fantasy",3x3 Eyes:Legend of the Divine Demon,OVA,3,"Jul 25, 1995 to Jun 25, 1996",Unknown,"Toei Animation, Bandai Visual, Kodansha",Geneon Entertainment USA,Studio Junio,Manga,45 min. per ep.,R - 17+ (violence & profanity),3730.0,4491,12438,46,254,8860,222,178,2924,357.0,624.0,1371.0,1941.0,1141.0,611.0,209.0,71.0,37.0,25.0
2736,Mojakou,7.12,"Comedy, Fantasy, Sci-Fi",Unknown,TV,74,"Oct 3, 1995 to Mar 31, 1997",Fall 1995,"TV Tokyo, Shogakukan-Shueisha Productions, SoftX, Studio Jack",Unknown,OLM,Unknown,25 min. per ep.,G - All Ages,3127.0,8868,1970,13,45,1317,83,208,317,75.0,133.0,206.0,342.0,172.0,96.0,12.0,13.0,6.0,8.0
5712,Tanoshii Muumin Ikka Bouken Nikki,7.5,"Kids, Slice of Life, Adventure, Fantasy",Unknown,TV,26,"Oct 10, 1991 to Mar 26, 1992",Fall 1991,TV Tokyo,Unknown,Telescreen,Book,25 min. per ep.,G - All Ages,1581.0,6540,4879,16,147,3313,91,166,1162,405.0,282.0,520.0,519.0,293.0,168.0,60.0,24.0,8.0,16.0
16035,Karneval (TV),7.14,"Action, Fantasy, Josei, Mystery, Sci-Fi",Karneval,TV,13,"Apr 4, 2013 to Jun 27, 2013",Spring 2013,"Bandai Visual, Lantis, Ichijinsha",Funimation,Manglobe,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3050.0,842,178536,1173,10876,98473,8488,11907,48792,6447.0,9261.0,16316.0,21025.0,12408.0,6708.0,2982.0,1256.0,645.0,397.0
12637,"Mogyutto ""Love"" de Sekkinchuu!",7.21,Music,Unknown,Music,1,"Feb 15, 2012",Unknown,Lantis,Unknown,Sunrise,Music,6 min.,PG-13 - Teens 13 or older,2752.0,4591,11747,15,135,9770,57,106,1679,867.0,583.0,1203.0,1726.0,979.0,570.0,170.0,81.0,44.0,46.0
3736,Parappa the Rapper,5.97,"Comedy, Fantasy",Unknown,TV,30,"Apr 14, 2001 to Jan 11, 2002",Spring 2001,Aniplex,Unknown,"J.C.Staff, Production I.G",Game,20 min. per ep.,G - All Ages,8329.0,8110,2662,24,190,852,216,361,1043,82.0,35.0,68.0,141.0,155.0,172.0,73.0,52.0,48.0,36.0
